owner,campaigns,lfp_campaigns
09AJ1CJVneX0AzcZy5f6L7u0CFD3,1,0
09BgmgULPoNBRtkZ0mvasordafb2,1,0
09IpQDdZ0SMsHnRA7KGh5rIQPtC3,1,0
09NSSIEkQ0W5NdOo3GIuQ5DGD6r1,1,0
09QeUcbsqwTQD7bFIw29fYbNZsy1,1,0
09QgpYOEZMTdRVUlfpyg2AYqv5H2,1,0
09QwZ5n3GaYMN61ifSenPREfecD3,1,0
09TQfholDKOvFvpJ4CTZtUtH5Qu2,3,0
09UA6sYB8nZZ48drYB1ncZWDUUA2,2,0
09ZZatRvije605eoVRePbyctZR72,1,0
09hFCjOCjba0mkPuIF5btQr9TNr1,2,0
09iOPR6oXpdgi3xtXv6gDGgKnao2,1,0
09m6csxDzMh32AzGLD8rg0RSpBH3,4,0
09mT8WLMqWdzMwRVQu5GeJVrEaz2,1,0
09pq9UyVekSBC5p7TnzwniNhmAg1,2,0
09wivIT1Fnc3KXezz3ykCDRKdMH3,1,0
0A0mAOmUzYcYBcN6Tz20QliWza93,1,0
0A4JWSIgB2hxZoRr5qD7lrMU9ga2,1,0
0A5gWPWqSUSSHAg3jz6UjcNDUkI2,1,0
0A71GKU2BbSSugbEgXH9ZNgSuY83,3,0
0A72u2gvfMN2PyVCgQ0r8qkCF162,1,0
0ABGasdkPNN7dVeJxDc1PGm9bTk2,1,0
0ABOSAqdtTPyrYSr4LHNzAjdHNC2,2,0
0ABjt6J9QyO7Sok9iozTK4RYjf53,1,1
0ACimaTmdcSfUeG7vfcLnDgqWaJ2,2,0
0AHG3l8I29flXoS5olZJpl1pXTc2,2,0
0AKfFtsbbJV46kFPI04V3kXc5E23,1,0
0AMH2F4MwHTyOuPK18l75LZdL7l1,1,0
0ANCxvWDUEgIkcUsC3YpWI8ctnM2,1,0
0ANf158GDZRqkozzhhKnMmcZ50i1,1,0
0AQ66KN3JOSEnhfVvl98LumVAhG3,2,0
0ARnfn6a8TUxCm2k7QjyC6sjdMt2,1,0
0ASGFmSJmLZ6OmiVL0p6jmA81Y82,1,0
0AUGEeVfkofwxU3ZSaG9F7iV6xw2,1,0
0AW4aQlIRgNacRn4hRDLJ5CTf453,1,0
0AWclqSn0LQWIpthZXYFeWhWpPi2,2,0
0AY5U4k98yW1JGmF2zpJt8IWNyc2,1,0
0Ad67U5eg7c2r2gBtqImfg5XC3Z2,10,0
0AdUjhsHCVS6sYp3b9HwNuZqD8X2,3,0
0AfQTwI23pTsBTCp3rL85m7KF8g2,1,0
0AgX7cGtuhfbrxVeZ0BMw6JexUV2,2,0
0AggCbB5xFgms8AOTyEpdJp6oHx1,1,0
0AlE13VYTDOyhdlz5hXa4PWbIdI2,6,0
0Amb91tyKEddkRd5rGOQOZWo5yH3,1,0
0AnSx0kcb0UWJG3cIdQWSESwpif2,1,0
0AqnXQiYm7WtL9GE5LQbQej6XgB2,1,0
0AsfbJY0CrdpHUpwSiNhdJ43cmv1,1,0
0AtBJxBukRULcoWqfjFWHy0Pq7W2,1,0
0Azx6u6FpNgUBRDJ9JPq8sV5bgZ2,1,0
0B0U50KnhZP1E2fUL3Gp9Fb7kvo2,4,0
0B2yifybbsfB8kymCp20QiXJ36h1,1,0
0B3ldXPOOQMdfHWmuiZRjw5Nhh82,1,0
0B5gMYQkZTPiDRf1yNWUZGcTFez2,1,0
0B66logOSUWNBnjJE0WfqcdXO063,1,0
0BD8yKALGXQNg8kkzmhfsWvg2Yy1,1,0
0BDobbpp1ZhRYQlsv2k3iCR5uvr1,6,0
0BFb21UoLBOKglV4KF1l1Re1T6c2,4,0
0BLaWquBnSSlb6sRZsgk72FTF7m2,1,0
0BNmvi1nHUaLfPKL8o6d2HGojlb2,1,0
0BOCNYTAhWTFOwyrwm8mbQNbwEu1,1,0
0BOoDdXAYqUlmMF7AouZ1rgv04g2,3,0
0BPUVuplFcaTC3C89O5nuXkDN402,1,0
0BTWAV6empPgRaW9icdeDeYe4on2,1,0
0BZudRBSsiayhdUm6rE8MpvKDXf2,1,0
0BagPBZAbae3NaD3O5ReLB1eThV2,4,0
0BdLOrBLhZdnZ8DtpQpBxEmMMgU2,1,0
0Bh5p1EeRsMCjjnsNXo0iRs5eIj1,1,0
0Br5GqzFLrQwRsel6hDh4OxHaJZ2,1,0
0BsDIzRaEaQODjPBtT5DVK7PnAC3,1,0
0BwZ4odJEPcZBumMtpqocDLqNFD2,1,0
0BzhAlaSIiN39C5Xmw0BSzNsNSS2,3,0
0C1jw33FwwdEmmoig4KAQhsBP3z1,1,0
0C5OOiZivKcZ6yx3s3vRtTLvjtw2,1,0
0C7FOYwRuPeEl2uRmliKN3jsVqL2,1,0
0CA3c283twaw2F9aPiwUmuJT83d2,1,1
0CBuhbJDikcY1fCp6IwvB22twWA2,2,0
0CCe52c3qKY8zNcE6ovK48eJEyr1,1,0
0CCqj0ZgCAbakdGVZVWlmiA2xZP2,1,0
0CCsBnRldBZiW24fGu3wSMuYKl23,6,0
0CE15mK6MOf7TkL8TTz4cef2k1a2,2,0
0CEIF6ags0ZLzOLyJpyhIU66hJw1,1,0
0CHRBKCFpaSVyEn6wzpkHSaQWED2,1,0
0CHfcvkQriTKHmGbVl93K8pXWEg2,5,0
0CJurWXnx9UWon96K9OwilOYzH83,1,0
0CPFY4SzPWYQ1L6UkSmR0smAHeB3,1,0
0CQyD7avdJOdiniu8e8wPycDGDF3,2,0
0CS5TDFSxuhAeuSr3ajmxjdToLX2,1,0
0CSNbh4Z0MWIlONQTNHZxPimKcR2,1,0
0CTV6kPuTAgyVcJH5rHdfNwuqVG2,4,0
0CXlJ1QDzObUU8IGQIrr0gj1T452,2,0
0CbSMUkuzWZHDwbfIjxv8cyNLnA3,5,1
0CeZezlQOFRnVOy7s1GRTNpwT5H3,1,0
0CelxLb7V2Tehcust9yJTEpkSRv2,1,0
0CgnkksSBQQfpGYUCcRjTOK9cF83,1,0
0CjwN7I5eqZPVGtLGSegkt3A4fh1,1,0
0CkFaesYHtcULdzTkrRADFWCDse2,1,0
0CsbKBi9Z4ZkOMKiWjQtUE3nQoH2,1,0
0Csxg5GOQWUcwD0Lw6ImkR4jPyo1,4,0
0CwqR1NFLCa7iOJl2FC1BVEDb862,1,0
